passenger_id,passenger_gender,passenger_age,age_group,Recency,Frequency,Monetary,R,F,M,RFM_Segment,RFM_Score,RFM_Class,PassengerKey
Xs1fLinPQun+Oy/mD0FlfXMyJD38YlXJfXNbz+qO+5U=,Female,40,Adults (35-59),92,5,6217600,4,3,4,434,11,Champions,1
m/auVlEoaGSe2MqR/Lq4CFXJnI8zauNyF/KiFmMgXHs=,Female,40,Adults (35-59),90,2,2010150,4,1,3,413,8,Loyal,2
6HvtV2vTqUfNBJ53C4TzvJnb0s74KgcRNuUVS+8jRvU=,Female,48,Adults (35-59),57,29,32683880,3,3,4,334,10,Champions,3
WiK2P31WEd4mckRNVWz0C2aKKRgSrauAG8NdfTLnKjE=,Male,29,Young Adults (18-34),92,4,4395790,4,2,4,424,10,Champions,4
6HvtV2vTqUfNBJ53C4TzvJnb0s74KgcRNuUVS+8jRvU=,Female,42,Adults (35-59),57,29,32683880,3,3,4,334,10,Champions,5
6HvtV2vTqUfNBJ53C4TzvJnb0s74KgcRNuUVS+8jRvU=,Female,49,Adults (35-59),57,29,32683880,3,3,4,334,10,Champions,6
6HvtV2vTqUfNBJ53C4TzvJnb0s74KgcRNuUVS+8jRvU=,Female,22,Young Adults (18-34),57,29,32683880,3,3,4,334,10,Champions,7
6HvtV2vTqUfNBJ53C4TzvJnb0s74KgcRNuUVS+8jRvU=,Male,7,Children (0-12),57,29,32683880,3,3,4,334,10,Champions,8
6HvtV2vTqUfNBJ53C4TzvJnb0s74KgcRNuUVS+8jRvU=,Male,35,Adults (35-59),57,29,32683880,3,3,4,334,10,Champions,9
Xs1fLinPQun+Oy/mD0FlfXMyJD38YlXJfXNbz+qO+5U=,Female,64,Seniors (60+),92,5,6217600,4,3,4,434,11,Champions,10
6WT/KuYOg5HofhABffNQwtiP4r8NYG8rZANweVEbyAw=,Male,60,Seniors (60+),65,22,26260550,4,3,4,434,11,Champions,11
6WT/KuYOg5HofhABffNQwtiP4r8NYG8rZANweVEbyAw=,Female,55,Adults (35-59),65,22,26260550,4,3,4,434,11,Champions,12
6WT/KuYOg5HofhABffNQwtiP4r8NYG8rZANweVEbyAw=,Male,25,Young Adults (18-34),65,22,26260550,4,3,4,434,11,Champions,13
rJr8JkRBqdCi8O2Nvrwz1tCbniqbL4roEyYy9kyOOKU=,Male,51,Adults (35-59),92,2,4045100,4,1,4,414,9,Loyal,14
r5rPokmJ7hKb4MSVF7EWy90s6Zixskveyr0oifq58Tg=,Male,30,Young Adults (18-34),92,5,9485200,4,3,4,434,11,Champions,15
r5rPokmJ7hKb4MSVF7EWy90s6Zixskveyr0oifq58Tg=,Female,28,Young Adults (18-34),92,5,9485200,4,3,4,434,11,Champions,16
bZzJJ8icesGY0ENygaOyPvFZsB/aN85J0Vb7WvVh5HQ=,Female,23,Young Adults (18-34),92,2,4201510,4,1,4,414,9,Loyal,17
a8vdHiW6g5TBHFoQkwNcgN9yqYAvHEei1HXdha9nccY=,Male,29,Young Adults (18-34),92,1,1863200,4,1,2,412,7,Loyal,18
dA+rWRFQ0GU84j8HD9ZJRovI6DADUr/RvLx+pa1KoV0=,Female,51,Adults (35-59),92,3,4661790,4,2,4,424,10,Champions,19
g8PH198EGSamio1GZLKXNFZnJ5UQFSJQ/hYGTMPv77g=,Male,37,Adults (35-59),92,1,780210,4,1,1,411,6,Potential,20
KkTfOwXZy1hIu9Xg4MMWr3GKoc0MmCkgER3CqvB8mvE=,Male,21,Young Adults (18-34),91,4,3907600,4,2,4,424,10,Champions,21
Gahu/lb+gt9KnrWBGEIWs1iuWNb6XEvl/TLi/L3v0CA=,Male,22,Young Adults (18-34),92,3,2615320,4,2,3,423,9,Loyal,22
Gahu/lb+gt9KnrWBGEIWs1iuWNb6XEvl/TLi/L3v0CA=,Male,5,Children (0-12),92,3,2615320,4,2,3,423,9,Loyal,23
Gahu/lb+gt9KnrWBGEIWs1iuWNb6XEvl/TLi/L3v0CA=,Female,4,Children (0-12),92,3,2615320,4,2,3,423,9,Loyal,24
2nrbBUdDeOEI+ZuQeRPOHQ68GZwJZ1gl476BnJyVPuc=,Female,19,Young Adults (18-34),21,7,10010100,1,3,4,134,8,Loyal,25
QOqDEvNJWo71D6rGKjRbrzWSpkVmLXX5LtDLs559UB8=,Female,51,Adults (35-59),92,1,1036720,4,1,1,411,6,Potential,26
6yMd+REhZhjiG2b3W4DFnSpinrr36MCqJBjpeaECflU=,Male,29,Young Adults (18-34),92,1,1106280,4,1,2,412,7,Loyal,27
WxmXUeD+h0L8P32BmaMkQQkYZFAlz9XlBgTB7NjZz4Y=,Male,28,Young Adults (18-34),62,6,4791660,4,3,4,434,11,Champions,28
b/QqeQUPz95lcxLjZSHTTLfN71YqY7EYRo9DMIG7a5w=,Male,28,Young Adults (18-34),80,2,1928700,4,1,3,413,8,Loyal,29
qO1FAGLaOro4GAhTPR5uMbCEWdClpIaDbGZ+9zd3OPY=,Female,22,Young Adults (18-34),92,2,1784200,4,1,2,412,7,Loyal,30
r5rPokmJ7hKb4MSVF7EWy90s6Zixskveyr0oifq58Tg=,Female,3,Children (0-12),92,5,9485200,4,3,4,434,11,Champions,31
RZRX0StGkPPcq7StvQNebYK+8wpNixb9h6oDd428SWE=,Male,26,Young Adults (18-34),2,12,15013970,1,3,4,134,8,Loyal,32
xPhfE8gO8cRY7t/x40UVDuz90n5BZ3J8P8AyHoRymKA=,Female,19,Young Adults (18-34),70,2,2477700,4,1,3,413,8,Loyal,33
ON0xfYRJot4JNzy5kzimTcAOCHsx9GzgVStvGEyrUfA=,Male,31,Young Adults (18-34),92,1,1965600,4,1,3,413,8,Loyal,34
nGnoXzPJcG9Ng7PjWAf5QAcxMGkONqj/tcRI8382BCs=,Female,23,Young Adults (18-34),92,1,1426700,4,1,2,412,7,Loyal,35
HxTJ0er/yZvAiEvrhVmINEWB0CmcIGssooLhdb8D0MY=,Male,29,Young Adults (18-34),35,5,8597400,2,3,4,234,9,Loyal,36
LCiXztJSoruNdrZWgc8Y8HyRi2caN8lOFlyq8e4nrTY=,Female,29,Young Adults (18-34),31,6,5445280,2,3,4,234,9,Loyal,37
l+jnwOAwnfhdEVyaEoeiBfJ/Dk70kadEevCdGLLx6uY=,Male,57,Adults (35-59),15,9,7540910,1,3,4,134,8,Loyal,38
l+jnwOAwnfhdEVyaEoeiBfJ/Dk70kadEevCdGLLx6uY=,Female,56,Adults (35-59),15,9,7540910,1,3,4,134,8,Loyal,39
y4mrJPlrXhAPdzI/3zgQZT4qZsDRiyoT4rFkxuO3DOE=,Male,25,Young Adults (18-34),92,5,4112920,4,3,4,434,11,Champions,40
y4mrJPlrXhAPdzI/3zgQZT4qZsDRiyoT4rFkxuO3DOE=,Male,3,Children (0-12),92,5,4112920,4,3,4,434,11,Champions,41
y4mrJPlrXhAPdzI/3zgQZT4qZsDRiyoT4rFkxuO3DOE=,Female,25,Young Adults (18-34),92,5,4112920,4,3,4,434,11,Champions,42
gsLVNokJBNQELPRpgHZCuJR7t4ETk2t0KCtKatKa21k=,Female,26,Young Adults (18-34),92,1,1108000,4,1,2,412,7,Loyal,43
clJN+8ezGvRJCIMpHo82zCK6d28gjkAsiyKfHxfxBb4=,Female,23,Young Adults (18-34),65,6,5141640,4,3,4,434,11,Champions,44
DeBA2RJJOPCMVA+GwvMRyYdzQ/0jLTyTnMcmUJuJrfw=,Female,19,Young Adults (18-34),10,10,9065810,1,3,4,134,8,Loyal,45
/jp6s/Rr8RAohXgQi9rojqUil6UKmJijb6xOBUQYtkA=,Female,22,Young Adults (18-34),92,3,3326270,4,2,3,423,9,Loyal,46
JNIlJbsWxnpQTL+bflnc+uS4Y3aLT/W289r/XQyN0R8=,Female,38,Adults (35-59),25,23,23998620,1,3,4,134,8,Loyal,47
kum1xEIKiqtYoIyfpzDi5lDJ/TTXvJ4e4vaq3tromLw=,Female,24,Young Adults (18-34),90,7,6825920,4,3,4,434,11,Champions,48
kum1xEIKiqtYoIyfpzDi5lDJ/TTXvJ4e4vaq3tromLw=,Female,23,Young Adults (18-34),90,7,6825920,4,3,4,434,11,Champions,49
gbJ+NwE3YsT3FSI1xXvt+AJ5rTJpX0Db/0J24FLWbx8=,Male,21,Young Adults (18-34),92,1,737520,4,1,1,411,6,Potential,50
uILq6orHPZK1NUrOohu1zFbX9R6ZZAUucCNRg8Bz/bU=,Male,31,Young Adults (18-34),92,2,2171400,4,1,3,413,8,Loyal,51
z5CR97qqBQCw0+VSFDhLbz0i3UTLVJLcQqJupeKmezE=,Female,20,Young Adults (18-34),92,2,3040600,4,1,3,413,8,Loyal,52
h4gLQlkWzNBrlJ6rc/xxb/rOKTU6DO0WnSPNQ396taQ=,Female,26,Young Adults (18-34),62,4,4236200,4,2,4,424,10,Champions,53
h4gLQlkWzNBrlJ6rc/xxb/rOKTU6DO0WnSPNQ396taQ=,Male,24,Young Adults (18-34),62,4,4236200,4,2,4,424,10,Champions,54
UMgp8UI+LzwC+2u38JnjoPGOjcq1aGitwfalD9tk3UE=,Male,32,Young Adults (18-34),92,10,12256500,4,3,4,434,11,Champions,55
q8lfQPCWucm3EU3a2dCmrZZRCPITx2HN97qNyo/JqkI=,Male,23,Young Adults (18-34),34,4,5278310,2,2,4,224,8,Loyal,56
