Date,Year,Quarter,Month,Day,DayOfWeek,DateKey
2023-03-01,2023,1,3,1,Wednesday,1
2023-03-02,2023,1,3,2,Thursday,2
2023-03-03,2023,1,3,3,Friday,3
2023-03-04,2023,1,3,4,Saturday,4
2023-03-05,2023,1,3,5,Sunday,5
2023-03-06,2023,1,3,6,Monday,6
2023-03-07,2023,1,3,7,Tuesday,7
2023-03-08,2023,1,3,8,Wednesday,8
2023-03-09,2023,1,3,9,Thursday,9
2023-03-10,2023,1,3,10,Friday,10
2023-03-11,2023,1,3,11,Saturday,11
2023-03-12,2023,1,3,12,Sunday,12
2023-03-13,2023,1,3,13,Monday,13
2023-03-14,2023,1,3,14,Tuesday,14
2023-03-15,2023,1,3,15,Wednesday,15
2023-03-16,2023,1,3,16,Thursday,16
2023-03-17,2023,1,3,17,Friday,17
2023-03-18,2023,1,3,18,Saturday,18
2023-03-19,2023,1,3,19,Sunday,19
2023-03-20,2023,1,3,20,Monday,20
2023-03-21,2023,1,3,21,Tuesday,21
2023-03-22,2023,1,3,22,Wednesday,22
2023-03-23,2023,1,3,23,Thursday,23
2023-03-24,2023,1,3,24,Friday,24
2023-03-25,2023,1,3,25,Saturday,25
2023-03-26,2023,1,3,26,Sunday,26
2023-03-27,2023,1,3,27,Monday,27
2023-03-28,2023,1,3,28,Tuesday,28
2023-03-29,2023,1,3,29,Wednesday,29
2023-03-30,2023,1,3,30,Thursday,30
2023-03-31,2023,1,3,31,Friday,31
2023-04-01,2023,2,4,1,Saturday,32
2023-04-02,2023,2,4,2,Sunday,33
2023-04-03,2023,2,4,3,Monday,34
2023-04-04,2023,2,4,4,Tuesday,35
2023-04-05,2023,2,4,5,Wednesday,36
2023-04-06,2023,2,4,6,Thursday,37
2023-04-07,2023,2,4,7,Friday,38
2023-04-08,2023,2,4,8,Saturday,39
2023-04-09,2023,2,4,9,Sunday,40
2023-04-10,2023,2,4,10,Monday,41
2023-04-11,2023,2,4,11,Tuesday,42
2023-04-12,2023,2,4,12,Wednesday,43
2023-04-13,2023,2,4,13,Thursday,44
2023-04-14,2023,2,4,14,Friday,45
2023-04-15,2023,2,4,15,Saturday,46
2023-04-16,2023,2,4,16,Sunday,47
2023-04-17,2023,2,4,17,Monday,48
2023-04-18,2023,2,4,18,Tuesday,49
2023-04-19,2023,2,4,19,Wednesday,50
2023-04-20,2023,2,4,20,Thursday,51
2023-04-21,2023,2,4,21,Friday,52
2023-04-22,2023,2,4,22,Saturday,53
2023-04-23,2023,2,4,23,Sunday,54
2023-04-24,2023,2,4,24,Monday,55
2023-04-25,2023,2,4,25,Tuesday,56
2023-04-26,2023,2,4,26,Wednesday,57
2023-04-27,2023,2,4,27,Thursday,58
2023-04-28,2023,2,4,28,Friday,59
2023-04-29,2023,2,4,29,Saturday,60
2023-04-30,2023,2,4,30,Sunday,61
2023-05-01,2023,2,5,1,Monday,62
2023-05-02,2023,2,5,2,Tuesday,63
2023-05-03,2023,2,5,3,Wednesday,64
2023-05-04,2023,2,5,4,Thursday,65
2023-05-05,2023,2,5,5,Friday,66
2023-05-06,2023,2,5,6,Saturday,67
2023-05-07,2023,2,5,7,Sunday,68
2023-05-08,2023,2,5,8,Monday,69
2023-05-09,2023,2,5,9,Tuesday,70
2023-05-10,2023,2,5,10,Wednesday,71
2023-05-11,2023,2,5,11,Thursday,72
2023-05-12,2023,2,5,12,Friday,73
2023-05-13,2023,2,5,13,Saturday,74
2023-05-14,2023,2,5,14,Sunday,75
2023-05-15,2023,2,5,15,Monday,76
2023-05-16,2023,2,5,16,Tuesday,77
2023-05-17,2023,2,5,17,Wednesday,78
2023-05-18,2023,2,5,18,Thursday,79
2023-05-19,2023,2,5,19,Friday,80
2023-05-20,2023,2,5,20,Saturday,81
2023-05-21,2023,2,5,21,Sunday,82
2023-05-22,2023,2,5,22,Monday,83
2023-05-23,2023,2,5,23,Tuesday,84
2023-05-24,2023,2,5,24,Wednesday,85
2023-05-25,2023,2,5,25,Thursday,86
2023-05-26,2023,2,5,26,Friday,87
2023-05-27,2023,2,5,27,Saturday,88
2023-05-28,2023,2,5,28,Sunday,89
2023-05-29,2023,2,5,29,Monday,90
2023-05-30,2023,2,5,30,Tuesday,91
2023-05-31,2023,2,5,31,Wednesday,92
2023-06-01,2023,2,6,1,Thursday,93
2023-06-02,2023,2,6,2,Friday,94
2023-06-03,2023,2,6,3,Saturday,95
2023-06-04,2023,2,6,4,Sunday,96
2023-06-05,2023,2,6,5,Monday,97
2023-06-06,2023,2,6,6,Tuesday,98
2023-06-07,2023,2,6,7,Wednesday,99
2023-06-08,2023,2,6,8,Thursday,100
2023-06-09,2023,2,6,9,Friday,101
2023-06-10,2023,2,6,10,Saturday,102
2023-06-11,2023,2,6,11,Sunday,103
2023-06-12,2023,2,6,12,Monday,104
2023-06-13,2023,2,6,13,Tuesday,105
2023-06-14,2023,2,6,14,Wednesday,106
2023-06-15,2023,2,6,15,Thursday,107
2023-06-16,2023,2,6,16,Friday,108
2023-06-17,2023,2,6,17,Saturday,109
2023-06-18,2023,2,6,18,Sunday,110
2023-06-19,2023,2,6,19,Monday,111
2023-06-20,2023,2,6,20,Tuesday,112
2023-06-21,2023,2,6,21,Wednesday,113
2023-06-22,2023,2,6,22,Thursday,114
2023-06-23,2023,2,6,23,Friday,115
2023-06-24,2023,2,6,24,Saturday,116
2023-06-25,2023,2,6,25,Sunday,117
2023-06-26,2023,2,6,26,Monday,118
2023-06-27,2023,2,6,27,Tuesday,119
